Date,BEP,EIX,NEE,PCG,SRE,TSLA
2010-06-30,18.829999923706055,31.719999313354492,48.7599983215332,41.099998474121094,46.790000915527344,23.829999923706055
2010-07-01,18.829999923706055,31.309999465942383,48.95000076293945,40.84000015258789,46.43000030517578,21.959999084472656
2010-07-02,18.739999771118164,31.1299991607666,48.959999084472656,40.72999954223633,46.5099983215332,19.200000762939453
2010-07-06,18.729999542236328,31.510000228881836,49.400001525878906,41.38999938964844,47.060001373291016,16.110000610351562
2010-07-07,18.940000534057617,32.61000061035156,50.79999923706055,42.2599983215332,48.4900016784668,15.800000190734863
2010-07-08,19.209999084472656,32.970001220703125,51.0,42.54999923706055,48.849998474121094,17.459999084472656
2010-07-09,19.459999084472656,33.060001373291016,51.43000030517578,42.630001068115234,49.2599983215332,17.399999618530273
2010-07-12,19.329999923706055,32.95000076293945,51.90999984741211,42.9900016784668,49.310001373291016,17.049999237060547
2010-07-13,19.5,33.130001068115234,52.279998779296875,42.79999923706055,49.75,18.139999389648438
2010-07-14,19.420000076293945,33.20000076293945,52.099998474121094,42.90999984741211,49.380001068115234,19.84000015258789
2010-07-15,19.31999969482422,33.31999969482422,52.939998626708984,43.52000045776367,49.400001525878906,19.889999389648438
2010-07-16,19.059999465942383,32.54999923706055,52.61000061035156,42.560001373291016,48.540000915527344,20.639999389648438
2010-07-19,19.15999984741211,33.06999969482422,52.77000045776367,43.349998474121094,49.45000076293945,21.90999984741211
2010-07-20,19.440000534057617,33.0,52.70000076293945,43.77000045776367,49.95000076293945,20.299999237060547
2010-07-21,19.610000610351562,32.369998931884766,52.119998931884766,43.20000076293945,49.220001220703125,20.219999313354492
2010-07-22,19.5,32.90999984741211,52.84000015258789,43.93000030517578,50.349998474121094,21.0
2010-07-23,19.790000915527344,32.90999984741211,52.810001373291016,44.22999954223633,50.459999084472656,21.290000915527344
2010-07-26,20.040000915527344,33.0,52.83000183105469,44.58000183105469,50.7599983215332,20.950000762939453
2010-07-27,20.3700008392334,33.720001220703125,53.79999923706055,45.279998779296875,51.15999984741211,20.549999237060547
2010-07-28,20.010000228881836,33.56999969482422,53.06999969482422,44.810001373291016,50.58000183105469,20.719999313354492
2010-07-29,20.139999389648438,33.33000183105469,52.5,44.47999954223633,49.959999084472656,20.350000381469727
2010-07-30,20.3700008392334,33.150001525878906,52.29999923706055,44.400001525878906,49.75,19.940000534057617
2010-08-02,20.579999923706055,34.040000915527344,54.0099983215332,45.38999938964844,50.45000076293945,20.920000076293945
2010-08-03,20.68000030517578,33.7599983215332,53.7400016784668,45.09000015258789,51.36000061035156,21.950000762939453
2010-08-04,20.649999618530273,33.810001373291016,53.599998474121094,45.29999923706055,51.45000076293945,21.260000228881836
2010-08-05,20.770000457763672,33.709999084472656,53.2599983215332,45.22999954223633,51.81999969482422,20.450000762939453
2010-08-06,20.360000610351562,34.0,53.709999084472656,45.63999938964844,51.79999923706055,19.59000015258789
2010-08-09,20.920000076293945,33.959999084472656,53.47999954223633,45.7400016784668,51.939998626708984,19.600000381469727
2010-08-10,20.030000686645508,34.099998474121094,53.75,46.209999084472656,52.43000030517578,19.030000686645508
2010-08-11,19.59000015258789,33.29999923706055,52.68000030517578,45.2599983215332,51.7599983215332,17.899999618530273
2010-08-12,19.649999618530273,33.33000183105469,52.060001373291016,45.59000015258789,51.279998779296875,17.600000381469727
2010-08-13,19.360000610351562,33.939998626708984,52.02000045776367,45.709999084472656,51.150001525878906,18.31999969482422
2010-08-16,19.229999542236328,33.86000061035156,52.15999984741211,45.779998779296875,51.2400016784668,18.780000686645508
2010-08-17,19.93000030517578,33.95000076293945,52.470001220703125,45.9900016784668,51.400001525878906,19.149999618530273
2010-08-18,19.799999237060547,33.84000015258789,52.54999923706055,45.33000183105469,51.29999923706055,18.770000457763672
2010-08-19,19.440000534057617,33.540000915527344,51.84000015258789,45.099998474121094,50.599998474121094,18.790000915527344
2010-08-20,19.200000762939453,33.86000061035156,53.290000915527344,45.86000061035156,50.540000915527344,19.100000381469727
2010-08-23,19.25,33.880001068115234,53.720001220703125,46.20000076293945,51.0,20.1299991607666
2010-08-24,19.719999313354492,33.95000076293945,54.290000915527344,46.72999954223633,51.099998474121094,19.200000762939453
2010-08-25,19.489999771118164,33.779998779296875,53.27000045776367,47.060001373291016,51.25,19.899999618530273
2010-08-26,19.450000762939453,33.25,53.04999923706055,46.849998474121094,51.33000183105469,19.75
2010-08-27,19.420000076293945,33.97999954223633,53.88999938964844,47.630001068115234,51.970001220703125,19.700000762939453
2010-08-30,19.399999618530273,33.439998626708984,53.2599983215332,46.77000045776367,51.0099983215332,19.8700008392334
2010-08-31,19.079999923706055,33.75,53.72999954223633,46.7599983215332,50.91999816894531,19.479999542236328
2010-09-01,19.479999542236328,34.72999954223633,54.619998931884766,47.779998779296875,52.4900016784668,20.450000762939453
2010-09-02,19.420000076293945,34.61000061035156,54.63999938964844,47.70000076293945,53.439998626708984,21.059999465942383
2010-09-03,19.56999969482422,34.880001068115234,54.63999938964844,47.68000030517578,53.560001373291016,21.049999237060547
2010-09-07,19.889999389648438,34.689998626708984,54.290000915527344,47.95000076293945,53.2400016784668,20.540000915527344
2010-09-08,19.850000381469727,34.47999954223633,54.27000045776367,47.70000076293945,52.709999084472656,20.899999618530273
2010-09-09,20.059999465942383,34.689998626708984,54.61000061035156,48.2400016784668,53.13999938964844,20.709999084472656
2010-09-10,20.200000762939453,34.38999938964844,55.15999984741211,44.209999084472656,53.290000915527344,20.170000076293945
